SCIENTIFIC NAME
Pomatorhinus schisticeps
Pomatorhinus superciliaris
Porphyrio poliocephalus
Porzana fusca
Porzana parva
Porzana porzana
Porzana pusilla
Prinia atrogularis
Prinia buchanani
Prinia burnesii
Prinia cinereocapilla
Prinia crinigera
Prinia flaviventris
Prinia gracilis
Prinia hodgsonii
Prinia inornata
Prinia rufescens
Prinia socialis
Prinia sylvatica
Prunella atrogularis
Prunella collaris
Prunella fulvescens
Prunella himalayana
Prunella immaculata
Prunella rubeculoides
Prunella strophiata
Psarisomus dalhousiae
Pseudibis papillosa
Pseudopodoces humilis
Psittacula alexandri
Psittacula caniceps
Psittacula columboides
Psittacula cyanocephala
Psittacula eupatria
Psittacula finschii
Psittacula himalayana
Psittacula krameri
Psittacula longicauda
Psittacula roseata
Psittiparus bakeri
Psittiparus gularis
Psittiparus ruficeps
Pterocles exustus
Pterocles indicus
Pterocles orientalis
Pterocles senegallus
Pteruthius aeralatus
Pteruthius melanotis
Pteruthius ripleyi
Pteruthius rufiventer
Pteruthius xanthochlorus
Ptyonoprogne concolor
Ptyonoprogne rupestris
Pucrasia macrolopha
Pycnonotus atriceps
Pycnonotus cafer
Pycnonotus flavescens
Pycnonotus flaviventris
Pycnonotus fuscoflavescens
Pycnonotus gularis
Pycnonotus jocosus
Pycnonotus leucogenys
Pycnonotus leucotis
Pycnonotus luteolus
Pycnonotus priocephalus
Pycnonotus striatus
Pycnonotus xantholaemus
Pyrrhocorax graculus
Pyrrhocorax pyrrhocorax
Pyrrhoplectes epauletta
Pyrrhula aurantiaca
Pyrrhula erythaca
Pyrrhula erythrocephala
Pyrrhula nipalensis
Rallina canningi
Rallina eurizonoides
Rallus aquaticus
Recurvirostra avosetta
Regulus regulus
Remiz coronatus
Rhinoptilus bitorquatus
Rhipidura albicollis
Rhipidura albogularis
Rhipidura aureola
Rhopocichla atriceps
Rhyticeros narcondami
Rhyticeros undulatus
Riparia chinensis
Riparia diluta
Riparia riparia
Rissa tridactyla
Rostratula benghalensis
Rynchops albicollis
Salpornis spilonotus
Sarcogyps calvus
Sarkidiornis melanotos
Saroglossa spiloptera
Sasia ochracea
Saxicola caprata
Saxicola ferreus
Saxicola insignis
Saxicola leucurus
Saxicola macrorhynchus
Saxicola maurus
Schoenicola platyurus
Schoeniparus castaneceps
Schoeniparus cinereus
Schoeniparus dubius
Schoeniparus rufogularis
Scolopax rusticola
Seicercus affinis
Seicercus burkii
Seicercus castaniceps
Seicercus poliogenys
Seicercus tephrocephalus
Seicercus whistleri
Serilophus lunatus
Serinus pusillus
Serinus thibetanus
Sitta cashmirensis
Sitta castanea
Sitta cinnamoventris
Sitta formosa
Sitta frontalis
Sitta himalayensis
Sitta leucopsis
Sitta nagaensis
Spelaeornis badeigularis
Spelaeornis caudatus
Spelaeornis chocolatinus
Spelaeornis longicaudatus
Spelaeornis troglodytoides
Sphenocichla roberti
Spilornis cheela
Spilornis elgini
Spilornis klossi
Spizixos canifrons
Sporaeginthus formosus
Stachyris humei
Stachyris nigriceps
Stachyris oglei
Sterna acuticauda
Sterna aurantia
Sterna dougallii
Sterna hirundo
Sterna repressa
Sterna sumatrana
Sternula albifrons
Sternula saundersi
Streptopelia chinensis
Streptopelia decaocto
Streptopelia orientalis
Streptopelia senegalensis
Streptopelia tranquebarica
Strix aluco
Strix leptogrammica
Strix nivicolum
Strix ocellata
Sturnia blythii
Sturnia erythropygia
Sturnia malabarica
Sturnia pagodarum
Sturnus vulgaris
Surniculus dicruroides
Surniculus lugubris
Suthora fulvifrons
Suthora nipalensis
Sylvia althaea
Sylvia communis
Sylvia crassirostris
Sylvia curruca
Sylvia minula
Sylvia nana
Sylviparus modestus
Synoicus chinensis
Sypheotides indicus
Syrrhaptes tibetanus
Tachybaptus ruficollis
Tadorna ferruginea
Tadorna tadorna
Tarsiger chrysaeus
Tarsiger cyanurus
Tarsiger hyperythrus
Tarsiger indicus
Tarsiger rufilatus
Tephrodornis pondicerianus
Tephrodornis sylvicola
Tephrodornis virgatus
Terpsiphone affinis
Terpsiphone paradisi
Tesia cyaniventer
Tesia olivea
Tetraogallus himalayensis
Tetraogallus tibetanus
Thalasseus bengalensis
Thalasseus bergii
Thalasseus sandvicensis
Threskiornis melanocephalus
Tichodroma muraria
Tickellia hodgsoni
Timalia pileata
Todiramphus chloris
Tragopan blythii
Tragopan melanocephalus
Tragopan satyra
Tragopan temminckii
Treron affinis
Treron apicauda
Treron bicinctus
Treron chloropterus
Treron curvirostra
Treron phayrei
Treron phoenicopterus
Treron sphenurus
Tringa erythropus
Tringa glareola
Tringa nebularia
Tringa ochropus
Tringa stagnatilis
Tringa totanus
Trochalopteron affine
Trochalopteron austeni
Trochalopteron cachinnans
Trochalopteron chrysopterum
Trochalopteron erythrocephalum
Trochalopteron fairbanki
Trochalopteron imbricatum
Trochalopteron lineatum
Trochalopteron squamatum
Trochalopteron subunicolor
Trochalopteron variegatum
Trochalopteron virgatum
Troglodytes troglodytes
Turdinus abbotti
Turdinus brevicaudatus
Turdoides affinis
Turdoides caudata
Turdoides earlei
Turdoides longirostris
Turdoides malcolmi
Turdoides striata
Turdoides subrufa
Turdus albocinctus
Turdus atrogularis
Turdus boulboul
Turdus dissimilis
Turdus eunomus
Turdus feae
Turdus maximus
Turdus merula
Turdus obscurus
Turdus rubrocanus
Turdus ruficollis
Turdus simillimus
Turdus unicolor
Turdus viscivorus
Turnix suscitator
Turnix sylvaticus
Turnix tanki
Tyto alba
Tyto deroepstorffi
Upupa epops
Urocissa erythrorhyncha
Urocissa flavirostris
Urosphena pallidipes
Vanellus cinereus
Vanellus duvaucelii
Vanellus gregarius
Vanellus indicus
Vanellus leucurus
Vanellus malabaricus
Vanellus vanellus
Xenus cinereus
Yuhina bakeri
Yuhina castaniceps
Yuhina flavicollis
Yuhina gularis
Yuhina nigrimenta
Yuhina occipitalis
Zoonavena sylvatica
Zoothera dauma
Zoothera dixoni
Zoothera marginata
Zoothera mollissima
Zoothera monticola
Zoothera neilgherriensis
Zosterops palpebrosus
